Timestamp,Name,Gender,Job Role,Department,1. I generally feel happy and satisfied during my workday.,"2. I experience positive emotions (enthusiasm, excitement) while performing my tasks.",3. I remain calm and composed even under pressure.,"4.  Negative emotions (stress, frustration) interfere with my work.",5. I usually start my workday with a positive mindset.,1.  I feel energized and enthusiastic about my job.,2.  I am fully absorbed in my work most of the time.,3. I often go beyond what is required in my role.,4.  I find my work meaningful and motivating.,5.  I am committed to giving my best at work.,1. I complete my tasks efficiently within deadlines.,2.  I maintain high quality in my work output.,3.  I actively contribute to achieving team goals.,4.  I am consistent in meeting performance expectations.,5.  My performance has improved over the past few months.,1.  I am aware of my organization’s AI-related policies.,  2.  The BAN AI policy limits how AI tools can be used in my work.,"3. The policy affects my ability to use AI for improving productivity.
",4. I believe the BAN AI policy supports ethical and fair workplace Practices. ,5.  I feel the BAN AI policy impacts how emotions influence my productivity.
2025/10/13 1:57:19 AM GMT+5,Marium Zameer,Male,Non Teaching Staff,uozotagh,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral
2025/10/13 1:57:26 AM GMT+5,Ali Tahir,Female,Teacher,f5o1ya9u,Disagree,Strongly disagree,Strongly agree,Disagree,Neutral,Disagree,Neutral,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree
2025/10/13 1:57:32 AM GMT+5,Faizan Ali,Female,Non Teaching Staff,0h6wkl9i,Agree,Disagree,Agree,Disagree,Neutral,Strongly disagree,Agree,Disagree,Agree,Strongly agree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Disagree,Disagree,Strongly agree
2025/10/13 1:57:38 AM GMT+5,Maira Zameer,Male,Teacher,rwn9ndi6,Neutral,Disagree,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Disagree
2025/10/13 1:57:45 AM GMT+5,Fatima Tahir,Male,Non Teaching Staff,msnjlsnu,Strongly disagree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly disagree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree
2025/10/13 1:57:51 AM GMT+5,Subhan Khalid,Female,Teacher,gptesocs,Agree,Neutral,Strongly disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Strongly disagree,Neutral,Strongly agree,Strongly agree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Agree,Agree
2025/10/13 1:57:58 AM GMT+5,Marium Zameer,Female,Non Teaching Staff,4h324lxu,Strongly disagree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree
2025/10/13 1:58:04 AM GMT+5,Fatima Tahir,Male,Teacher,o46ibauj,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral
2025/10/13 1:58:11 AM GMT+5,Bilal Siddiqui,Female,Coordinator,kb0ne2nw,Disagree,Disagree,Neutral,Strongly agree,Neutral,Disagree,Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly agree,Agree,Strongly disagree,Strongly agree,Agree
2025/10/13 1:58:17 AM GMT+5,Fatima Tahir,Male,Non Teaching Staff,mkxm5ket,Strongly disagree,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Neutral,Disagree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Strongly disagree
2025/10/13 1:58:24 AM GMT+5,Muhammad Hanzla,Male,Coordinator,oyouzvhm,Strongly disagree,Disagree,Strongly disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Disagree,Agree,Agree
2025/10/13 1:58:30 AM GMT+5,Fatima Tahir,Male,Coordinator,x52qirk6,Strongly disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly disagree,Strongly agree,Agree,Disagree,Strongly agree,Neutral,Strongly agree,Strongly disagree,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly agree
2025/10/13 1:58:37 AM GMT+5,Maira Zameer,Male,Coordinator,w4hjgidh,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Strongly agree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Strongly disagree
2025/10/13 1:58:43 AM GMT+5,Marium Zameer,Male,Non Teaching Staff,tcciynvs,Strongly disagree,Disagree,Neutral,Neutral,Strongly agree,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Neutral,Strongly agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
2025/10/13 1:58:50 AM GMT+5,Bilal Siddiqui,Female,Non Teaching Staff,ktq5lyk8,Strongly agree,Agree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Strongly disagree,Disagree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Neutral,Disagree,Disagree,Strongly agree,Agree
2025/10/13 1:58:56 AM GMT+5,Ali Tahir,Male,Teacher,g2nam18s,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Neutral,Strongly disagree,Strongly agree
2025/10/13 1:59:03 AM GMT+5,Subhan Khalid,Female,Non Teaching Staff,sh54twsz,Neutral,Strongly agree,Disagree,Neutral,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Disagree,Agree,Strongly disagree,Neutral,Neutral,Agree,Strongly disagree,Neutral,Neutral,Agree,Strongly agree
2025/10/13 1:59:09 AM GMT+5,Iqra Azzam,Male,Non Teaching Staff,bsvpd3b7,Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly disagree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Disagree,Neutral,Strongly agree
2025/10/13 1:59:16 AM GMT+5,Subhan Khalid,Female,Teacher,45rxawhu,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Strongly agree,Neutral,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree
2025/10/13 1:59:22 AM GMT+5,Faizan Ali,Male,Non Teaching Staff,i3jku365,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Strongly agree,Neutral,Neutral,Disagree,Neutral,Strongly agree,Neutral,Agree,Disagree
2025/10/13 1:59:29 AM GMT+5,Muhammad Hanzla,Female,Teacher,wmuevvrw,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly disagree,Agree,Neutral,Strongly agree,Neutral,Neutral,Agree,Disagree,Strongly agree,Disagree
2025/10/13 1:59:35 AM GMT+5,Fatima Tahir,Male,Coordinator,a44cv6ul,Agree,Neutral,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Neutral,Neutral
2025/10/13 1:59:41 AM GMT+5,Hafiz Ahmad,Female,Teacher,hqkod8mv,Disagree,Strongly agree,Strongly agree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Agree,Agree,Strongly disagree,Neutral,Agree,Strongly agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Disagree
2025/10/13 1:59:48 AM GMT+5,Faizan Ali,Male,Teacher,6jnd76vv,Neutral,Agree,Neutral,Strongly agree,Disagree,Agree,Neutral,Agree,Strongly disagree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly agree,Agree,Disagree,Strongly disagree,Neutral,Disagree
2025/10/13 1:59:54 AM GMT+5,Bilal Siddiqui,Male,Coordinator,uuevvjzu,Agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral
2025/10/13 2:00:01 AM GMT+5,Ali Tahir,Male,Non Teaching Staff,8mlera5k,Disagree,Disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Neutral,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Strongly agree
2025/10/13 2:00:07 AM GMT+5,Iqra Azzam,Male,Teacher,mp2psacd,Strongly disagree,Neutral,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Strongly disagree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Strongly agree
